in s,C1 in V
-5.9614618E-02,3.72363E+00
-5.9613696E-02,3.73340E+00
-5.9612774E-02,3.70410E+00
-5.9611853E-02,3.71387E+00
-5.9610931E-02,3.72363E+00
-5.9610010E-02,3.71387E+00
-5.9609088E-02,3.72363E+00
-5.9608166E-02,3.68457E+00
-5.9607245E-02,3.71387E+00
-5.9606323E-02,3.71387E+00
-5.9605402E-02,3.72363E+00
-5.9604480E-02,3.74316E+00
-5.9603558E-02,3.66504E+00
-5.9602637E-02,3.65527E+00
-5.9601715E-02,3.67480E+00
-5.9600794E-02,3.72363E+00
-5.9599872E-02,3.71387E+00
-5.9598950E-02,3.69434E+00
-5.9598029E-02,3.71387E+00
-5.9597107E-02,3.69434E+00
-5.9596186E-02,3.68457E+00
-5.9595264E-02,3.69434E+00
-5.9594342E-02,3.71387E+00
-5.9593421E-02,3.71387E+00
-5.9592499E-02,3.66504E+00
-5.9591578E-02,3.70410E+00
-5.9590656E-02,3.65527E+00
-5.9589734E-02,3.67480E+00
-5.9588813E-02,3.69434E+00
-5.9587891E-02,3.65527E+00
-5.9586970E-02,3.68457E+00
-5.9586048E-02,3.68457E+00
-5.9585126E-02,3.68457E+00
-5.9584205E-02,3.68457E+00
-5.9583283E-02,3.68457E+00
-5.9582362E-02,3.65527E+00
-5.9581440E-02,3.64551E+00
-5.9580518E-02,3.65527E+00
-5.9579597E-02,3.63574E+00
-5.9578675E-02,3.64551E+00
-5.9577754E-02,3.66504E+00
-5.9576832E-02,3.63574E+00
-5.9575910E-02,3.66504E+00
-5.9574989E-02,3.68457E+00
-5.9574067E-02,3.66504E+00
-5.9573146E-02,3.65527E+00
-5.9572224E-02,3.63574E+00
-5.9571302E-02,3.62598E+00
-5.9570381E-02,3.62598E+00
-5.9569459E-02,3.65527E+00
-5.9568538E-02,3.64551E+00
-5.9567616E-02,3.58691E+00
-5.9566694E-02,3.64551E+00
-5.9565773E-02,3.62598E+00
-5.9564851E-02,3.64551E+00
-5.9563930E-02,3.65527E+00
-5.9563008E-02,3.63574E+00
-5.9562086E-02,3.61621E+00
-5.9561165E-02,3.60645E+00
-5.9560243E-02,3.60645E+00
-5.9559322E-02,3.63574E+00
-5.9558400E-02,3.60645E+00
-5.9557478E-02,3.55762E+00
-5.9556557E-02,3.60645E+00
-5.9555635E-02,3.60645E+00
-5.9554714E-02,3.55762E+00
-5.9553792E-02,3.60645E+00
-5.9552870E-02,3.56738E+00
-5.9551949E-02,3.59668E+00
-5.9551027E-02,3.57715E+00
-5.9550106E-02,3.53809E+00
-5.9549184E-02,3.60645E+00
-5.9548262E-02,3.56738E+00
-5.9547341E-02,3.60645E+00
-5.9546419E-02,3.56738E+00
-5.9545498E-02,3.58691E+00
-5.9544576E-02,3.58691E+00
-5.9543654E-02,3.54785E+00
-5.9542733E-02,3.54785E+00
-5.9541811E-02,3.53809E+00
-5.9540890E-02,3.54785E+00
-5.9539968E-02,3.56738E+00
-5.9539046E-02,3.55762E+00
-5.9538125E-02,3.60645E+00
-5.9537203E-02,3.54785E+00
-5.9536282E-02,3.56738E+00
-5.9535360E-02,3.53809E+00
-5.9534438E-02,3.53809E+00
-5.9533517E-02,3.52832E+00
-5.9532595E-02,3.45996E+00
-5.9531674E-02,3.55762E+00
-5.9530752E-02,3.54785E+00
-5.9529830E-02,3.53809E+00
-5.9528909E-02,3.52832E+00
-5.9527987E-02,3.49902E+00
-5.9527066E-02,3.54785E+00
-5.9526144E-02,3.52832E+00
-5.9525222E-02,3.54785E+00
-5.9524301E-02,3.50879E+00
-5.9523379E-02,3.48926E+00
-5.9522458E-02,3.49902E+00
-5.9521536E-02,3.49902E+00
-5.9520614E-02,3.47949E+00
-5.9519693E-02,3.49902E+00
-5.9518771E-02,3.48926E+00
-5.9517850E-02,3.48926E+00
-5.9516928E-02,3.47949E+00
-5.9516006E-02,3.47949E+00
-5.9515085E-02,3.46973E+00
-5.9514163E-02,3.48926E+00
-5.9513242E-02,3.47949E+00
-5.9512320E-02,3.47949E+00
-5.9511398E-02,3.47949E+00
-5.9510477E-02,3.47949E+00
-5.9509555E-02,3.48926E+00
-5.9508634E-02,3.46973E+00
-5.9507712E-02,3.45020E+00
-5.9506790E-02,3.47949E+00
-5.9505869E-02,3.45996E+00
-5.9504947E-02,3.45020E+00
-5.9504026E-02,3.47949E+00
-5.9503104E-02,3.46973E+00
-5.9502182E-02,3.45996E+00
-5.9501261E-02,3.42090E+00
-5.9500339E-02,3.40137E+00
-5.9499418E-02,3.44043E+00
-5.9498496E-02,3.43066E+00
-5.9497574E-02,3.43066E+00
-5.9496653E-02,3.44043E+00
-5.9495731E-02,3.43066E+00
-5.9494810E-02,3.45020E+00
-5.9493888E-02,3.45996E+00
-5.9492966E-02,3.45996E+00
-5.9492045E-02,3.43066E+00
-5.9491123E-02,3.38184E+00
-5.9490202E-02,3.42090E+00
-5.9489280E-02,3.39160E+00
-5.9488358E-02,3.40137E+00
-5.9487437E-02,3.40137E+00
-5.9486515E-02,3.36230E+00
-5.9485594E-02,3.40137E+00
-5.9484672E-02,3.39160E+00
-5.9483750E-02,3.36230E+00
-5.9482829E-02,3.40137E+00
-5.9481907E-02,3.36230E+00
-5.9480986E-02,3.41113E+00
-5.9480064E-02,3.38184E+00
-5.9479142E-02,3.38184E+00
-5.9478221E-02,3.37207E+00
-5.9477299E-02,3.38184E+00
-5.9476378E-02,3.36230E+00
-5.9475456E-02,3.34277E+00
-5.9474534E-02,3.37207E+00
-5.9473613E-02,3.35254E+00
-5.9472691E-02,3.36230E+00
-5.9471770E-02,3.36230E+00
-5.9470848E-02,3.37207E+00
-5.9469926E-02,3.36230E+00
-5.9469005E-02,3.36230E+00
-5.9468083E-02,3.35254E+00
-5.9467162E-02,3.33301E+00
-5.9466240E-02,3.31348E+00
-5.9465318E-02,3.32324E+00
-5.9464397E-02,3.32324E+00
-5.9463475E-02,3.36230E+00
-5.9462554E-02,3.33301E+00
-5.9461632E-02,3.35254E+00
-5.9460710E-02,3.34277E+00
-5.9459789E-02,3.31348E+00
-5.9458867E-02,3.35254E+00
-5.9457946E-02,3.31348E+00
-5.9457024E-02,3.32324E+00
-5.9456102E-02,3.34277E+00
-5.9455181E-02,3.31348E+00
-5.9454259E-02,3.32324E+00
-5.9453338E-02,3.31348E+00
-5.9452416E-02,3.30371E+00
-5.9451494E-02,3.31348E+00
-5.9450573E-02,3.30371E+00
-5.9449651E-02,3.27441E+00
-5.9448730E-02,3.28418E+00
-5.9447808E-02,3.28418E+00
-5.9446886E-02,3.30371E+00
-5.9445965E-02,3.26465E+00
-5.9445043E-02,3.31348E+00
-5.9444122E-02,3.29395E+00
-5.9443200E-02,3.29395E+00
-5.9442278E-02,3.26465E+00
-5.9441357E-02,3.28418E+00
-5.9440435E-02,3.28418E+00
-5.9439514E-02,3.28418E+00
-5.9438592E-02,3.22559E+00
-5.9437670E-02,3.24512E+00
-5.9436749E-02,3.23535E+00
-5.9435827E-02,3.25488E+00
-5.9434906E-02,3.29395E+00
-5.9433984E-02,3.24512E+00
-5.9433062E-02,3.19629E+00
-5.9432141E-02,3.15723E+00
-5.9431219E-02,3.21582E+00
-5.9430298E-02,3.27441E+00
-5.9429376E-02,3.25488E+00
-5.9428454E-02,3.22559E+00
-5.9427533E-02,3.25488E+00
-5.9426611E-02,3.21582E+00
-5.9425690E-02,3.18652E+00
-5.9424768E-02,3.23535E+00
-5.9423846E-02,3.18652E+00
-5.9422925E-02,3.21582E+00
-5.9422003E-02,3.20605E+00
-5.9421082E-02,3.21582E+00
-5.9420160E-02,3.18652E+00
-5.9419238E-02,3.21582E+00
-5.9418317E-02,3.21582E+00
-5.9417395E-02,3.21582E+00
-5.9416474E-02,3.16699E+00
-5.9415552E-02,3.24512E+00
-5.9414630E-02,3.17676E+00
-5.9413709E-02,3.15723E+00
-5.9412787E-02,3.19629E+00
-5.9411866E-02,3.17676E+00
-5.9410944E-02,3.18652E+00
-5.9410022E-02,3.17676E+00
-5.9409101E-02,3.14746E+00
-5.9408179E-02,3.15723E+00
-5.9407258E-02,3.14746E+00
-5.9406336E-02,3.14746E+00
-5.9405414E-02,3.14746E+00
-5.9404493E-02,3.16699E+00
-5.9403571E-02,3.15723E+00
-5.9402650E-02,3.13770E+00
-5.9401728E-02,3.12793E+00
-5.9400806E-02,3.12793E+00
-5.9399885E-02,3.09863E+00
-5.9398963E-02,3.10840E+00
